Goeido,1.5,Takakeisho,2.59,2017-11-10 10:45:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:45:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:45:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:45:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:45:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 10:50:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:50:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:50:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:50:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:50:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:50:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 10:55:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:55:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:55:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:55:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:55:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:55:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:00:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:00:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:00:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:00:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:00:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:00:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:05:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:05:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:05:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:05:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:05:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:05:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:10:04
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:10:04
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:10:04
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:10:04
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:10:04
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:10:04
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:10:04
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:15:02
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:15:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:15:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:15:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:15:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:15:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:15:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:20:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:20:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:20:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:20:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:20:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:20:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:20:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:25:02
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:25:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:25:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:25:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:25:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:25:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:25:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:30:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:30:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:30:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:30:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:30:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 11:30:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 11:30:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:30:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:30:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:35:02
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:35:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:35:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:35:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:35:02
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 11:35:02
Ikioi,1.58,Aoiyama,2.38,2017-11-10 11:35:02
Kagayaki,1.63,Takekaze,2.28,2017-11-10 11:35:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:35:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:35:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:40:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:40:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:40:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:40:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:40:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 11:40:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 11:40:03
Kagayaki,1.63,Takekaze,2.28,2017-11-10 11:40:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:40:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:40:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:45:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:45:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:45:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:45:03
