rikishi1,odds1,rikishi2,odds2,ts
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:20:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:20:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:20:02
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:20:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:20:02
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:20:02
Shodai,1.65,Ura,2.24,2017-09-09 08:20:02
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:20:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:20:02
Tamawashi,1.81,Shohozan,2,2017-09-09 08:20:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:20:02
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:20:02
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:20:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:25:02
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:25:02
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:25:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:25:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:25:02
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:25:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:25:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:25:02
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:25:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:25:02
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:25:02
Shodai,1.65,Ura,2.24,2017-09-09 08:25:02
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:25:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:25:02
Tamawashi,1.81,Shohozan,2,2017-09-09 08:25:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:25:02
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:25:02
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:25:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:30:04
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:30:04
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:30:04
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:30:04
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:30:04
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:30:04
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:30:04
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:30:04
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:30:04
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:30:04
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:30:04
Shodai,1.6,Ura,2.34,2017-09-09 08:30:04
