rikishi1,odds1,rikishi2,odds2,ts
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:25:03
Kaisei,1.7,Nishikigi,2.15,2017-09-09 07:25:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:25:03
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 07:25:03
Shodai,1.79,Ura,2.02,2017-09-09 07:25:03
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 07:25:03
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:25:03
Tamawashi,1.81,Shohozan,2,2017-09-09 07:25:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:25:03
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 07:25:03
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 07:25:03
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:30:02
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:30:02
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 07:30:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:30:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:30:02
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:30:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:30:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:30:02
Kaisei,1.7,Nishikigi,2.15,2017-09-09 07:30:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:30:02
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 07:30:02
Shodai,1.79,Ura,2.02,2017-09-09 07:30:02
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 07:30:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:30:02
Tamawashi,1.81,Shohozan,2,2017-09-09 07:30:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:30:02
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 07:30:02
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 07:30:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:35:02
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:35:02
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 07:35:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:35:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:35:02
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:35:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:35:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:35:02
Kaisei,1.7,Nishikigi,2.15,2017-09-09 07:35:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:35:02
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 07:35:02
Shodai,1.79,Ura,2.02,2017-09-09 07:35:02
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 07:35:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:35:02
Tamawashi,1.81,Shohozan,2,2017-09-09 07:35:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:35:02
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 07:35:02
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 07:35:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:40:02
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:40:02
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 07:40:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:40:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:40:02
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:40:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:40:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:40:02
Kaisei,1.7,Nishikigi,2.15,2017-09-09 07:40:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:40:02
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 07:40:02
Shodai,1.79,Ura,2.02,2017-09-09 07:40:02
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 07:40:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:40:02
Tamawashi,1.81,Shohozan,2,2017-09-09 07:40:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:40:02
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 07:40:02
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 07:40:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:45:03
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:45:03
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 07:45:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:45:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:45:03
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:45:03
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:45:03
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:45:03
Kaisei,1.7,Nishikigi,2.15,2017-09-09 07:45:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:45:03
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 07:45:03
Shodai,1.65,Ura,2.24,2017-09-09 07:45:03
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 07:45:03
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:45:03
Tamawashi,1.81,Shohozan,2,2017-09-09 07:45:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:45:03
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 07:45:03
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 07:45:03
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:50:02
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:50:02
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 07:50:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:50:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:50:02
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:50:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:50:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:50:02
Kaisei,1.7,Nishikigi,2.15,2017-09-09 07:50:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:50:02
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 07:50:02
Shodai,1.65,Ura,2.24,2017-09-09 07:50:02
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 07:50:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:50:02
Tamawashi,1.81,Shohozan,2,2017-09-09 07:50:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:50:02
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 07:50:02
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 07:50:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:55:03
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:55:03
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 07:55:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:55:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:55:03
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:55:03
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:55:03
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:55:03
Kaisei,1.7,Nishikigi,2.15,2017-09-09 07:55:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:55:03
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 07:55:03
Shodai,1.65,Ura,2.24,2017-09-09 07:55:03
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 07:55:03
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:55:03
Tamawashi,1.81,Shohozan,2,2017-09-09 07:55:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:55:03
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 07:55:03
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 07:55:03
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:00:04
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:00:04
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:00:04
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:00:04
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:00:04
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:00:04
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:00:04
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:00:04
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:00:04
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:00:04
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:00:04
Shodai,1.65,Ura,2.24,2017-09-09 08:00:04
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:00:04
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:00:04
Tamawashi,1.81,Shohozan,2,2017-09-09 08:00:04
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:00:04
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:00:04
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:00:04
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:05:02
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:05:02
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:05:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:05:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:05:02
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:05:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:05:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:05:02
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:05:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:05:02
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:05:02
Shodai,1.65,Ura,2.24,2017-09-09 08:05:02
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:05:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:05:02
Tamawashi,1.81,Shohozan,2,2017-09-09 08:05:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:05:02
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:05:02
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:05:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:10:03
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:10:03
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:10:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:10:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:10:03
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:10:03
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:10:03
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:10:03
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:10:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:10:03
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:10:03
Shodai,1.65,Ura,2.24,2017-09-09 08:10:03
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:10:03
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:10:03
Tamawashi,1.81,Shohozan,2,2017-09-09 08:10:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:10:03
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:10:03
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:10:03
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:15:04
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:15:04
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:15:04
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:15:04
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:15:04
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:15:04
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:15:04
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:15:04
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:15:04
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:15:04
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:15:04
Shodai,1.65,Ura,2.24,2017-09-09 08:15:04
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:15:04
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:15:04
Tamawashi,1.81,Shohozan,2,2017-09-09 08:15:04
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:15:04
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:15:04
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:15:04
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:20:02
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:20:02
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:20:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:20:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:20:02
